# Manually-curated parity matrix overrides.
#
# Format: c_function<TAB>status<TAB>note
# Status enum: parity | py-gap | mcp-gap | mcp-gap-2d | intentional | internal
#
# Use this file when:
#   - The auto-matcher missed a real Python equivalent (override to `parity`
#     with a `via:` note pointing to the actual binding).
#   - A C function is deliberately not exposed to Python (override to
#     `intentional` with a one-line reason).
#   - A C function is a build/dev helper rather than a public API entry point
#     (override to `internal`).
#
# Re-run `python3 docs/parity/tools/build_matrix.py` after edits.

# ----------------------------------------------------------------------------
# Intentional non-exposures (Python idioms supersede C-level facilities).
# ----------------------------------------------------------------------------
swmm_conversion_result_free	intentional	Python uses GC; _edit.ConversionResult is a TypedDict.
swmm_impact_report_free	intentional	Python uses GC; _edit.ImpactEntry list is GC-managed.
swmm_get_last_error	intentional	Python raises EngineError instead of polling last-error state.
swmm_get_last_error_msg	intentional	Python raises EngineError carrying the message.
swmm_error_message	intentional	Python raises EngineError; error-code -> message is internal.
swmm_engine_new	intentional	Solver.__init__ handles engine creation transparently.
swmm_get_event_count	intentional	Alias of swmm_events_count per inline doc; same Phase 1 wrapping.

# ----------------------------------------------------------------------------
# False negatives (matcher missed a real Python wrapping under a different name).
# ----------------------------------------------------------------------------
swmm_2d_triangle_count	parity	via _2d.Surface2D.n_triangles (property).
swmm_2d_vertex_count	parity	via _2d.Surface2D.n_vertices (property).
swmm_2d_vertex_get_head	parity	via _2d.Surface2D.get_vertex_heads (bulk-only on Py side, single via index).
swmm_2d_vertex_get_xyz	parity	via _2d.Surface2D.get_vertex_coords (returns full (x,y,z) tuple).
swmm_2d_vertex_get_xyz_bulk	parity	via _2d.Surface2D.get_vertex_coords (returns (x,y,z) NumPy arrays).
swmm_ext_inflow_add	parity	via _inflows.Inflows.add_external.
swmm_finalize_model	parity	via _model.ModelBuilder.finalize.
swmm_validate_model	parity	via _model.ModelBuilder.validate.
swmm_hotstart_warning	parity	via _hotstart.HotStart.get_warning.
swmm_hydrograph_add_gage	parity	via _inflows.Inflows.add_hydrograph_gage.
swmm_output_open	parity	via _output_reader.OutputReader.__init__.
swmm_gpkg_open	parity	via _geopackage.GeoPackage.__init__.
swmm_set_progress_callback	parity	via _solver.run_with_callback (function-level convenience).
swmm_get_crs	parity	via _spatial.Spatial.get_crs (Python routes top-level CRS through Spatial).
swmm_gpkg_node_count	parity	via _geopackage.GeoPackage.object_counts (aggregate dict).
swmm_gpkg_link_count	parity	via _geopackage.GeoPackage.object_counts (aggregate dict).
swmm_gpkg_subcatch_count	parity	via _geopackage.GeoPackage.object_counts (aggregate dict).
swmm_gpkg_gage_count	parity	via _geopackage.GeoPackage.object_counts (aggregate dict).
swmm_gpkg_simulation_id	parity	via _geopackage.GeoPackage.simulation_ids (plural, returns list).

# Date getters/setters wrapped as datetime properties on both classes.
swmm_options_get_start_date	parity	via _solver.Solver.start_datetime / _model.ModelBuilder.start_datetime properties.
swmm_options_set_start_date	parity	via _solver.Solver.start_datetime / _model.ModelBuilder.start_datetime setters.
swmm_options_get_end_date	parity	via _solver.Solver.end_datetime / _model.ModelBuilder.end_datetime properties.
swmm_options_set_end_date	parity	via _solver.Solver.end_datetime / _model.ModelBuilder.end_datetime setters.
swmm_options_get_report_start	parity	via _solver.Solver.report_start_datetime / _model.ModelBuilder.report_start_datetime properties.
swmm_options_set_report_start	parity	via _solver.Solver.report_start_datetime / _model.ModelBuilder.report_start_datetime setters.

# Output reader (Phase 2.5): metadata / count getters subsumed by the
# analysis.output_metadata aggregate tool.
swmm_output_close	intentional	OutputReader lifecycle managed by SimSession; no standalone close tool.
swmm_output_get_version	parity	via analysis.output_metadata.
swmm_output_get_flow_units	parity	via analysis.output_metadata; also surfaced via lifecycle.open_model summary.
swmm_output_get_node_count	parity	via analysis.output_metadata; also via query.get_node_info / lifecycle summary.
swmm_output_get_link_count	parity	via analysis.output_metadata.
swmm_output_get_subcatch_count	parity	via analysis.output_metadata.
swmm_output_get_pollut_count	parity	via analysis.output_pollutant_count + analysis.output_metadata.
swmm_output_get_report_step	parity	via analysis.output_metadata.
swmm_output_get_start_date	parity	via analysis.output_metadata.
swmm_output_get_error_code	parity	via analysis.output_metadata; engine surfaces failures as EngineError elsewhere.
swmm_output_get_node_id	parity	via query.get_node_info (string id round-trip) + lifecycle summary listings.
swmm_output_get_link_id	parity	via query.get_link_info + listings.
