namespace	name	module	kind	signature
analysis	compare_scenarios	analysis	tool	(ctx: Context, session_a: str='', session_b: str='', element_type: str='node', variable: str='depth') -> dict
analysis	export_results	analysis	tool	(ctx: Context, session_id: str='default', output_path: str='', format: str='csv') -> ExportResult
analysis	get_capacity_summary	analysis	tool	(ctx: Context, session_id: str='default', max_filling_threshold: float=1.0) -> list[CapacitySummaryItem]
analysis	get_flooding_summary	analysis	tool	(ctx: Context, session_id: str='default', min_flood_volume: float=0.0) -> list[FloodingSummaryItem]
analysis	get_mass_balance	analysis	tool	(ctx: Context, session_id: str='default') -> MassBalanceResult
analysis	get_pump_summary	analysis	tool	(ctx: Context, session_id: str='default') -> list[PumpEntryModel]
analysis	get_report_snapshot	analysis	tool	(ctx: Context, session_id: str='default') -> ReportSnapshotModel
analysis	get_statistics	analysis	tool	(ctx: Context, session_id: str='default', element_type: str='node', element_id: str='') -> dict
analysis	get_time_series	analysis	tool	(ctx: Context, session_id: str='default', element_type: str='node', element_id: str='', variable: str='depth', start_period: int=0, end_period: int=-1, downsample: int=1) -> TimeSeries
building	add_curve	building	tool	(ctx: Context, session_id: str='default', name: str='', curve_type: str='storage', x_values: list[float] | None=None, y_values: list[float] | None=None) -> dict
building	add_gage	building	tool	(ctx: Context, session_id: str='default', gage_id: str='') -> BuildingResult
building	add_link	building	tool	(ctx: Context, session_id: str='default', link_id: str='', link_type: str='conduit', from_node: str='', to_node: str='', length: float=100.0, roughness: float=0.013, xsect_shape: str='circular', xsect_geom1: float=1.0, xsect_geom2: float=0.0, xsect_geom3: float=0.0, xsect_geom4: float=0.0) -> BuildingResult
building	add_node	building	tool	(ctx: Context, session_id: str='default', node_id: str='', node_type: str='junction', invert_elev: float=0.0, max_depth: float=0.0, x: float | None=None, y: float | None=None) -> BuildingResult
building	add_pollutant	building	tool	(ctx: Context, session_id: str='default', pollutant_id: str='', units: str='mg/l', kdecay: float=0.0, rain_conc: float=0.0, gw_conc: float=0.0, init_conc: float=0.0, snow_only: bool=False) -> BuildingResult
building	add_subcatchment	building	tool	(ctx: Context, session_id: str='default', subcatch_id: str='', area: float=1.0, imperv_pct: float=50.0, slope: float=0.5, width: float=100.0, outlet_node: str='') -> BuildingResult
building	add_timeseries	building	tool	(ctx: Context, session_id: str='default', name: str='', times: list[float] | None=None, values: list[float] | None=None) -> dict
building	create_model	building	tool	(ctx: Context, session_id: str='default') -> dict
building	pop_last_link	building	tool	(ctx: Context, session_id: str='default', link_id: str='') -> BuildingResult
building	pop_last_node	building	tool	(ctx: Context, session_id: str='default', node_id: str='') -> BuildingResult
building	set_option	building	tool	(ctx: Context, session_id: str='default', option: str='', value: str='') -> dict
building	validate_model	building	tool	(ctx: Context, session_id: str='default') -> dict
building	write_model	building	tool	(ctx: Context, session_id: str='default', output_path: str='') -> dict
editing	analyze_impact	editing	tool	(ctx: Context, session_id: str='default', object_type: str='node', object_id: str='') -> ImpactReportModel
editing	configure_gage	editing	tool	(ctx: Context, session_id: str='default', gage_id: str='', rain_type: str | None=None, rain_interval: float | None=None, data_source: str | None=None, timeseries_id: str | None=None, filename: str | None=None, station_id: str | None=None) -> GageConfigResult
editing	convert_link	editing	tool	(ctx: Context, session_id: str='default', link_id: str='', new_type: str='conduit') -> ConversionResultModel
editing	convert_node	editing	tool	(ctx: Context, session_id: str='default', node_id: str='', new_type: str='junction') -> ConversionResultModel
editing	delete_object	editing	tool	(ctx: Context, session_id: str='default', object_type: str='node', object_id: str='', dry_run: bool=False) -> ImpactReportModel
